Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Source,Name
90.6,1447556181,2,723778090.5,723778090.5,723736026,723820155,59488.2,other,MPI_Init_thread
7.3,116609159,2,58304579.5,58304579.5,55285952,61323207,4268984.0,other,MPI_Finalize
1.2,19955782,44,453540.5,51351.0,621,6165907,1100133.1,start-wait,MPI_Waitall
0.3,5072213,22,230555.1,10605.0,7685,2468671,707741.7,p2p,MPI_Isend
0.3,4107034,1,4107034.0,4107034.0,4107034,4107034,0.0,p2p,MPI_Recv
0.2,3954016,1,3954016.0,3954016.0,3954016,3954016,0.0,p2p,MPI_Send
0.0,403789,22,18354.0,1563.0,1072,194204,54247.6,p2p,MPI_Irecv
0.0,201847,6,33641.2,15253.5,1542,137367,51805.9,collectives,MPI_Barrier
