Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
85.7,8300974,22,377317.0,414556.0,2816,423644,121280.9,"<unnamed>::step_kernel_interior(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
10.3,1001461,22,45521.0,49728.0,2944,50655,13777.8,"<unnamed>::step_kernel_boundary_z_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
2.0,193438,22,8792.6,8736.0,2976,11264,2125.9,"<unnamed>::step_kernel_boundary_x_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
2.0,190654,22,8666.1,8863.5,2976,11456,1983.2,"<unnamed>::step_kernel_boundary_y_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
0.0,1696,1,1696.0,1696.0,1696,1696,0.0,<unnamed>::warmup_kernel(double *)
