Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Source,Name
93.4,4290035418,4,1072508854.5,1073223748.5,1067504983,1076082938,4203295.9,other,MPI_Init_thread
5.1,234507591,4,58626897.8,58662747.0,56518524,60663573,1850611.0,other,MPI_Finalize
0.8,35950378,88,408527.0,34744.0,521,13223176,1787878.6,start-wait,MPI_Waitall
0.3,12281777,88,139565.6,8130.5,3778,3115110,597780.6,p2p,MPI_Isend
0.2,7854555,4,1963638.8,1959739.0,92711,3842366,2158587.1,p2p,MPI_Recv
0.2,7472556,4,1868139.0,1857073.5,8516,3749893,2142829.1,p2p,MPI_Send
0.1,4543825,12,378652.1,34189.5,5200,2402624,833936.9,collectives,MPI_Barrier
0.0,933181,88,10604.3,1011.5,140,195645,38939.6,p2p,MPI_Irecv
