Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
92.1,35976878,12,2998073.2,3596910.5,2336,3611918,1399320.6,"<unnamed>::step_kernel_interior(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
6.7,2597523,12,216460.3,259167.0,1984,261150,100179.0,"<unnamed>::step_kernel_boundary_z_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
0.6,243487,12,20290.6,24112.0,2016,24992,8518.3,"<unnamed>::step_kernel_boundary_y_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
0.6,230782,12,19231.8,22560.0,2016,24128,8048.5,"<unnamed>::step_kernel_boundary_x_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
0.0,1440,1,1440.0,1440.0,1440,1440,0.0,<unnamed>::warmup_kernel(double *)
