Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Source,Name
76.0,4375146204,4,1093786551.0,1093716113.0,1093373805,1094340173,402832.1,other,MPI_Init_thread
14.0,808639473,88,9189084.9,50490.5,419,425792149,56730663.5,start-wait,MPI_Waitall
8.9,514177647,4,128544411.8,130103310.5,53119330,200851696,83253002.0,other,MPI_Finalize
0.7,42520860,12,3543405.0,14299.0,5339,41864946,12068526.4,collectives,MPI_Barrier
0.2,9136338,88,103822.0,7390.0,3100,2195121,433497.9,p2p,MPI_Isend
0.1,4420159,4,1105039.8,1042523.0,312549,2022564,916567.1,p2p,MPI_Recv
0.1,3565727,4,891431.8,841283.5,10481,1872679,1019127.4,p2p,MPI_Send
0.0,852351,88,9685.8,809.0,140,222057,38611.1,p2p,MPI_Irecv
