Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Source,Name
67.4,22598347882,4,5649586970.5,5647002307.0,5623892519,5680450749,25790155.7,other,MPI_Init_thread
21.9,7336011613,4,1834002903.3,1878989033.0,191214810,3386818737,1624830631.8,other,MPI_Finalize
5.2,1736200894,12,144683407.8,5182773.0,16614,722291881,262357902.4,collectives,MPI_Barrier
4.0,1346428346,80,16830354.3,7580.5,2720,338535035,73771845.7,p2p,MPI_Isend
1.5,505085865,80,6313573.3,75970.0,465,107692486,21874425.2,start-wait,MPI_Waitall
0.0,4319715,4,1079928.8,1045597.0,266308,1962213,939176.0,p2p,MPI_Recv
0.0,3637218,4,909304.5,891828.0,10528,1843034,1035788.2,p2p,MPI_Send
0.0,940498,80,11756.2,901.0,171,194771,37516.4,p2p,MPI_Irecv
