API Start (ns),API Dur (ns),Queue Start (ns),Queue Dur (ns),Kernel Start (ns),Kernel Dur (ns),Total Dur (ns),PID,TID,DevId,API Function,GridXYZ,BlockXYZ,Kernel Name
44416154048,5333,44416159381,2663816,44418823197,14304,2683453,108,108,3,cudaLaunchKernel,1954    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_x_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
44416159748,3160,44416162908,2675585,44418838493,23680,2702425,108,108,3,cudaLaunchKernel,3899    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_y_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
44416163302,9860,44416173162,2690259,44418863421,231966,2932085,108,108,3,cudaLaunchKernel,3883    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_z_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
44416178192,4869,44416183061,2913542,44419096603,4640,2923051,108,108,3,cudaLaunchKernel,1954    1    1, 256    1    1,"<unnamed>::pack_face_y(const double *, double *, int, int, int, int, int)"
44416183470,4109,44416187579,2914624,44419102203,22432,2941165,108,108,3,cudaLaunchKernel,1954    1    1, 256    1    1,"<unnamed>::pack_face_z(const double *, double *, int, int, int, int, int)"
44416856354,9160,44416865514,3513,44416869027,3513414,3526087,105,105,0,cudaLaunchKernel,  16  125  250,  32    4    4,"<unnamed>::step_kernel_interior(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
44416936523,8276,44416944799,2647765,44419592564,5312,2661353,107,107,2,cudaLaunchKernel,1954    1    1, 256    1    1,"<unnamed>::unpack_face_y(const double *, double *, int, int, int, int, int)"
44416945500,10233,44416955733,2643359,44419599092,34336,2687928,107,107,2,cudaLaunchKernel,1954    1    1, 256    1    1,"<unnamed>::unpack_face_z(const double *, double *, int, int, int, int, int)"
44416958143,11718,44416969861,2665071,44419634932,13215,2690004,107,107,2,cudaLaunchKernel,1954    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_x_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
44416970756,7427,44416978183,2670924,44419649107,22816,2701167,107,107,2,cudaLaunchKernel,3899    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_y_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
44416978561,5595,44416984156,2688919,44419673075,235261,2929775,107,107,2,cudaLaunchKernel,3883    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_z_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
44416988431,6030,44416994461,2914995,44419909456,4992,2926017,107,107,2,cudaLaunchKernel,1954    1    1, 256    1    1,"<unnamed>::pack_face_y(const double *, double *, int, int, int, int, int)"
44416994853,5651,44417000504,2914872,44419915376,22496,2943019,107,107,2,cudaLaunchKernel,1954    1    1, 256    1    1,"<unnamed>::pack_face_z(const double *, double *, int, int, int, int, int)"
44418308902,7818,44418316720,2060249,44420376969,5984,2074051,105,105,0,cudaLaunchKernel,1954    1    1, 256    1    1,"<unnamed>::unpack_face_y(const double *, double *, int, int, int, int, int)"
44418308918,6716,44418315634,483888,44418799522,5280,495884,106,106,1,cudaLaunchKernel,1954    1    1, 256    1    1,"<unnamed>::unpack_face_y(const double *, double *, int, int, int, int, int)"
44418316101,4933,44418321034,485176,44418806210,35296,525405,106,106,1,cudaLaunchKernel,1954    1    1, 256    1    1,"<unnamed>::unpack_face_z(const double *, double *, int, int, int, int, int)"
44418317163,4986,44418322149,2061956,44420384105,35456,2102398,105,105,0,cudaLaunchKernel,1954    1    1, 256    1    1,"<unnamed>::unpack_face_z(const double *, double *, int, int, int, int, int)"
44418322246,3497,44418325743,517491,44418843234,13696,534684,106,106,1,cudaLaunchKernel,1954    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_x_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
44418323138,5117,44418328255,2092874,44420421129,13184,2111175,105,105,0,cudaLaunchKernel,1954    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_x_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
