Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Source,Name
89.2,5814993450,4,1453748362.5,1692798398.0,734149777,1695246877,479736669.7,other,MPI_Init_thread
4.6,300651534,12,25054294.5,67771.0,12213,145576667,51862347.4,collectives,MPI_Barrier
4.3,277344324,4,69336081.0,61807027.0,57119977,96610293,18664146.4,other,MPI_Finalize
1.0,66779370,80,834742.1,9387.5,4619,16705141,3610590.1,p2p,MPI_Isend
0.7,45068255,80,563353.2,91951.0,702,9161236,1814068.7,start-wait,MPI_Waitall
0.1,8216599,4,2054149.8,2060033.5,101358,3995174,2231253.5,p2p,MPI_Recv
0.1,7783262,4,1945815.5,1925633.0,10589,3921407,2232881.9,p2p,MPI_Send
0.0,972011,80,12150.1,1934.0,210,203479,40642.1,p2p,MPI_Irecv
