Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
89.2,64736676,24,2697361.5,3234252.0,1376,3253404,1231624.0,"<unnamed>::step_kernel_interior(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
7.8,5696875,24,237369.8,283757.0,1376,288670,107821.0,"<unnamed>::step_kernel_boundary_z_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
1.3,908474,22,41294.3,41408.0,40192,42368,721.6,"<unnamed>::unpack_face_z(const double *, double *, int, int, int, int, int)"
0.8,609687,22,27713.0,26240.0,22624,32863,3187.3,"<unnamed>::pack_face_z(const double *, double *, int, int, int, int, int)"
0.4,321373,24,13390.5,15583.5,1376,16832,5504.3,"<unnamed>::step_kernel_boundary_x_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
0.4,306077,24,12753.2,14880.0,1376,15840,5196.0,"<unnamed>::step_kernel_boundary_y_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
0.0,1792,2,896.0,896.0,896,896,0.0,<unnamed>::warmup_kernel(double *)
