Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Source,Name
32.7,4295979451,4,1073994862.8,1074139593.0,1071197882,1076502383,2526010.4,other,MPI_Init_thread
31.0,4076051937,88,46318772.0,88333.0,433,1673489414,256425185.4,start-wait,MPI_Waitall
30.3,3974390889,4,993597722.3,926310662.5,55487095,2066282469,1061099859.6,other,MPI_Finalize
5.8,765986248,12,63832187.3,79269.5,13309,758303439,218705041.1,collectives,MPI_Barrier
0.1,9494539,88,107892.5,9057.5,3341,2293849,427395.1,p2p,MPI_Isend
0.0,3437527,4,859381.8,860810.0,72569,1643338,870242.6,p2p,MPI_Recv
0.0,3043938,4,760984.5,761300.5,8729,1512608,867732.9,p2p,MPI_Send
0.0,1251259,88,14218.9,842.5,150,317562,58906.6,p2p,MPI_Irecv
