Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Source,Name
91.8,4746610406,4,1186652601.5,1186483656.0,1185369549,1188273545,1439955.1,other,MPI_Init_thread
4.7,244288262,4,61072065.5,59943513.0,56086507,68314729,5335574.7,other,MPI_Finalize
2.6,136486459,88,1550982.5,33200.5,268,59759135,7816205.3,start-wait,MPI_Waitall
0.6,28464276,12,2372023.0,26584.0,3444,27181211,7818663.8,collectives,MPI_Barrier
0.1,6740108,88,76592.1,3704.0,2222,1809751,326504.4,p2p,MPI_Isend
0.1,3540100,4,885025.0,850877.5,174485,1663860,811090.6,p2p,MPI_Recv
0.1,2964365,4,741091.3,734276.5,7220,1488592,846509.2,p2p,MPI_Send
0.0,615629,88,6995.8,458.0,128,193260,29351.3,p2p,MPI_Irecv
