Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Source,Name
54.8,1405779027,2,702889513.5,702889513.5,702729281,703049746,226603.0,other,MPI_Init_thread
28.8,738641291,44,16787302.1,40016.0,413,703666469,105980928.1,start-wait,MPI_Waitall
16.1,413293667,2,206646833.5,206646833.5,51537396,361756271,219357870.2,other,MPI_Finalize
0.1,3827784,22,173990.2,8935.0,4175,1850409,535786.2,p2p,MPI_Isend
0.1,1700352,1,1700352.0,1700352.0,1700352,1700352,0.0,p2p,MPI_Recv
0.1,1550957,1,1550957.0,1550957.0,1550957,1550957,0.0,p2p,MPI_Send
0.0,552793,22,25127.0,853.5,278,285146,78941.7,p2p,MPI_Irecv
0.0,159438,6,26573.0,9726.0,3410,97099,36571.7,collectives,MPI_Barrier
