Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
93.7,483930517,96,5040942.9,6048449.0,1376,6064440,2265569.7,"<unnamed>::step_kernel_interior(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
4.0,20532836,96,213883.7,256141.5,1344,259037,95526.8,"<unnamed>::step_kernel_boundary_z_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
0.7,3662145,88,41615.3,41551.5,40383,43424,575.8,"<unnamed>::unpack_face_z(const double *, double *, int, int, int, int, int)"
0.4,2264682,88,25735.0,25136.0,24032,34272,2441.3,"<unnamed>::pack_face_z(const double *, double *, int, int, int, int, int)"
0.4,2108266,96,21961.1,25888.0,1344,27263,9251.4,"<unnamed>::step_kernel_boundary_x_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
0.4,1982380,96,20649.8,24304.0,1344,25727,8657.9,"<unnamed>::step_kernel_boundary_y_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
0.1,641210,88,7286.5,6576.0,4128,10783,1982.6,"<unnamed>::pack_face_x(const double *, double *, int, int, int, int, int)"
0.1,491386,88,5583.9,5904.0,4288,7616,1020.4,"<unnamed>::pack_face_y(const double *, double *, int, int, int, int, int)"
0.1,382908,88,4351.2,3968.0,3712,8415,1211.6,"<unnamed>::unpack_face_y(const double *, double *, int, int, int, int, int)"
0.1,360733,88,4099.2,3808.0,3552,7232,874.3,"<unnamed>::unpack_face_x(const double *, double *, int, int, int, int, int)"
0.0,7200,8,900.0,896.0,896,928,11.3,<unnamed>::warmup_kernel(double *)
