Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Source,Name
94.9,26957184711,8,3369648088.9,3369920458.0,3366364513,3371152081,1471002.1,other,MPI_Init_thread
3.1,894705066,176,5083551.5,86494.5,592,168483403,23663598.8,start-wait,MPI_Waitall
1.9,526754966,8,65844370.8,61547799.5,54708658,86987904,12556355.5,other,MPI_Finalize
0.1,18643280,264,70618.5,6988.5,2355,2986504,353653.1,p2p,MPI_Isend
0.0,7249758,12,604146.5,122640.0,42008,1652657,753728.3,p2p,MPI_Recv
0.0,6206132,12,517177.7,9288.5,1758,1571747,754127.6,p2p,MPI_Send
0.0,5200779,24,216699.1,68101.5,14977,1073399,341393.9,collectives,MPI_Barrier
0.0,1818845,264,6889.6,593.5,132,213604,30587.3,p2p,MPI_Irecv
