Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Source,Name
64.4,14591823551,8,1823977943.9,1824903133.0,1817946865,1826632202,2893523.6,other,MPI_Init_thread
18.7,4242385333,8,530298166.6,552068999.0,191576,1017652430,516647046.5,collectives,MPI_Allreduce
8.9,2015768350,96,20997587.0,111572.0,10870,357944510,61943121.7,collectives,MPI_Barrier
5.6,1262149960,96,13147395.4,5889258.0,580729,64860096,17037655.8,start-wait,MPI_Waitall
2.3,515807966,8,64475995.8,59752274.5,53989055,81723233,9827274.6,other,MPI_Finalize
0.1,13769251,288,47809.9,11355.5,3056,360749,94906.2,p2p,MPI_Irecv
0.0,6459149,12,538262.4,564870.0,263721,840923,199131.5,p2p,MPI_Recv
0.0,4200757,288,14586.0,11687.0,3956,84879,12854.6,p2p,MPI_Isend
0.0,492694,12,41057.8,28287.5,9277,122628,36559.5,p2p,MPI_Send
