Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Source,Name
62.1,23290165733,8,2911270716.6,2911698190.5,2900282023,2920799359,7659445.5,other,MPI_Init_thread
18.9,7090777644,176,40288509.3,7493470.5,1607,1853703228,229281000.2,start-wait,MPI_Waitall
15.2,5708190745,8,713523843.1,517785197.5,47924182,2283622091,784046827.8,other,MPI_Finalize
3.7,1389549257,24,57897885.7,2037324.0,23796,414319717,122477926.2,collectives,MPI_Barrier
0.0,7323611,264,27741.0,15201.5,8576,153881,35324.5,p2p,MPI_Isend
0.0,4607719,264,17453.5,13828.5,8350,98209,13990.8,p2p,MPI_Irecv
0.0,1999668,12,166639.0,134928.0,65293,387644,90734.8,p2p,MPI_Recv
0.0,387880,12,32323.3,15634.5,5142,77254,31064.3,p2p,MPI_Send
