Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Source,Name
60.0,23336627241,8,2917078405.1,2917338815.5,2906085598,2926049078,7870501.1,other,MPI_Init_thread
18.6,7236504767,176,41116504.4,6930480.5,1721,2235569873,255695507.8,start-wait,MPI_Waitall
17.9,6952245599,8,869030699.9,520868992.0,47119506,2478720935,919182566.6,other,MPI_Finalize
3.4,1326295043,24,55262293.5,1801654.0,28511,334308109,101363523.7,collectives,MPI_Barrier
0.0,7409857,264,28067.6,15354.5,8669,223098,36836.9,p2p,MPI_Isend
0.0,4649747,264,17612.7,13621.0,8502,108204,14138.3,p2p,MPI_Irecv
0.0,1614557,12,134546.4,125474.0,12949,301632,89815.2,p2p,MPI_Recv
0.0,339863,12,28321.9,15848.5,6785,67236,24062.0,p2p,MPI_Send
