Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Source,Name
41.7,1364368387,2,682184193.5,682184193.5,680490214,683878173,2395648.8,other,MPI_Init_thread
37.4,1224093472,2,612046736.0,612046736.0,54360456,1169733016,788687500.7,other,MPI_Finalize
17.5,571771897,44,12994815.8,85331.0,831,506127722,76196101.9,start-wait,MPI_Waitall
3.1,102406588,22,4654844.9,19777.5,5861,98227493,20907929.8,p2p,MPI_Isend
0.2,5761035,1,5761035.0,5761035.0,5761035,5761035,0.0,p2p,MPI_Send
0.1,3907750,1,3907750.0,3907750.0,3907750,3907750,0.0,p2p,MPI_Recv
0.0,298830,22,13583.2,927.0,611,151345,40930.3,p2p,MPI_Irecv
0.0,263858,6,43976.3,9122.5,1122,210467,82223.7,collectives,MPI_Barrier
