API Start (ns),API Dur (ns),Queue Start (ns),Queue Dur (ns),Kernel Start (ns),Kernel Dur (ns),Total Dur (ns),PID,TID,DevId,API Function,GridXYZ,BlockXYZ,Kernel Name
157577553963,215746,,,157577767958,1472,215746,118,118,0,cudaLaunchKernel,   1    1    1,   1    1    1,<unnamed>::warmup_kernel(double *)
157578036894,35015,157578071909,1137,157578073046,174240,210392,118,118,0,cudaLaunchKernel,8790    1    1, 256    1    1,"<unnamed>::pack_face_z(const double *, double *, int, int, int, int, int)"
157584304585,232258,,,157584535263,1472,232258,119,119,1,cudaLaunchKernel,   1    1    1,   1    1    1,<unnamed>::warmup_kernel(double *)
157584841878,44394,157584886272,1214,157584887486,174207,219815,119,119,1,cudaLaunchKernel,8790    1    1, 256    1    1,"<unnamed>::pack_face_z(const double *, double *, int, int, int, int, int)"
157590461868,38053,157590499921,1912,157590501833,365311,405276,119,119,1,cudaLaunchKernel,8790    1    1, 256    1    1,"<unnamed>::unpack_face_z(const double *, double *, int, int, int, int, int)"
157590471657,34315,157590505972,2177,157590508149,364448,400940,118,118,0,cudaLaunchKernel,8790    1    1, 256    1    1,"<unnamed>::unpack_face_z(const double *, double *, int, int, int, int, int)"
157591302855,28303,157591331158,2815,157591333973,2336,33454,118,118,0,cudaLaunchKernel,   1    2    2,  32    4    4,"<unnamed>::step_kernel_interior(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
157591333262,24707,157591357969,2852,157591360821,2368,29927,118,118,0,cudaLaunchKernel,   1    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_x_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
157591359341,18215,157591377556,2881,157591380437,2528,23624,118,118,0,cudaLaunchKernel,   1    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_y_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
157591378928,19457,,,157591398229,2080,21381,118,118,0,cudaLaunchKernel,   1    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_z_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
157591408383,5351,157591413734,2415,157591416149,2304,10070,118,118,0,cudaLaunchKernel,   1    2    2,  32    4    4,"<unnamed>::step_kernel_interior(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
157591414515,3857,157591418372,2321,157591420693,1920,8098,118,118,0,cudaLaunchKernel,   1    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_x_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
157591418893,3887,157591422780,3641,157591426421,1888,9416,118,118,0,cudaLaunchKernel,   1    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_y_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
157591423332,24426,157591447758,2055,157591449813,1984,28465,118,118,0,cudaLaunchKernel,   1    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_z_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
157594642684,31469,157594674153,2833,157594676986,2368,36670,119,119,1,cudaLaunchKernel,   1    2    2,  32    4    4,"<unnamed>::step_kernel_interior(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
157594677099,27862,157594704961,2489,157594707450,2368,32719,119,119,1,cudaLaunchKernel,   1    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_x_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
157594707225,19598,157594726823,1363,157594728186,2336,23297,119,119,1,cudaLaunchKernel,   1    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_y_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
157594728386,36869,,,157594763898,2080,37592,119,119,1,cudaLaunchKernel,   1    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_z_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
157594774973,5711,157594780684,1870,157594782554,2336,9917,119,119,1,cudaLaunchKernel,   1    2    2,  32    4    4,"<unnamed>::step_kernel_interior(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
157594781926,4148,157594786074,2272,157594788346,1920,8340,119,119,1,cudaLaunchKernel,   1    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_x_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
157594786615,4178,157594790793,3697,157594794490,1888,9763,119,119,1,cudaLaunchKernel,   1    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_y_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
157594791304,3897,157594795201,2457,157594797658,1952,8306,119,119,1,cudaLaunchKernel,   1    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_z_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
157595286198,26440,,,157595312021,174496,200319,118,118,0,cudaLaunchKernel,8790    1    1, 256    1    1,"<unnamed>::pack_face_z(const double *, double *, int, int, int, int, int)"
157595301186,15529,157595316715,685,157595317400,177119,193333,119,119,1,cudaLaunchKernel,8790    1    1, 256    1    1,"<unnamed>::pack_face_z(const double *, double *, int, int, int, int, int)"
157595314822,8145,157595322967,147806,157595470773,45632031,45787982,118,118,0,cudaLaunchKernel,  24  375  375,  32    4    4,"<unnamed>::step_kernel_interior(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
157595318108,4929,157595323037,153594,157595476631,45646585,45805108,119,119,1,cudaLaunchKernel,  24  375  375,  32    4    4,"<unnamed>::step_kernel_interior(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
157595679991,9918,157595689909,45405083,157641094992,350174,45765175,119,119,1,cudaLaunchKernel,8790    1    1, 256    1    1,"<unnamed>::unpack_face_z(const double *, double *, int, int, int, int, int)"
157595682926,8136,157595691062,45372510,157641063572,351232,45731878,118,118,0,cudaLaunchKernel,8790    1    1, 256    1    1,"<unnamed>::unpack_face_z(const double *, double *, int, int, int, int, int)"
157595690971,4228,157595695199,45751119,157641446318,82272,45837619,119,119,1,cudaLaunchKernel,8790    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_x_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
157595692063,4880,157595696943,45718821,157641415764,81888,45805589,118,118,0,cudaLaunchKernel,8790    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_x_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
157595695790,4288,157595700078,45829600,157641529678,82528,45916416,119,119,1,cudaLaunchKernel,8778    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_y_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
157595697464,5249,157595702713,45795899,157641498612,84704,45885852,118,118,0,cudaLaunchKernel,8778    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_y_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
157595700650,4017,157595704667,45908499,157641613166,2060696,47973212,119,119,1,cudaLaunchKernel,17532    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_z_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
157595703335,3636,157595706971,45877305,157641584276,2055008,47935949,118,118,0,cudaLaunchKernel,17532    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_z_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
157595711530,4368,157595715898,93506565,157689222463,167519,93678452,119,119,1,cudaLaunchKernel,8790    1    1, 256    1    1,"<unnamed>::pack_face_z(const double *, double *, int, int, int, int, int)"
157595713954,4148,157595718102,93517598,157689235700,167808,93689554,118,118,0,cudaLaunchKernel,8790    1    1, 256    1    1,"<unnamed>::pack_face_z(const double *, double *, int, int, int, int, int)"
157595716690,4157,157595720847,47954039,157643674886,45567257,93525453,119,119,1,cudaLaunchKernel,  24  375  375,  32    4    4,"<unnamed>::step_kernel_interior(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
